MCS	NormalTCells	ActivatedTCells	TotalTCells
1568	29	1	30
1569	29	1	30
1570	29	1	30
1571	29	1	30
1572	29	1	30
1573	29	1	30
1574	29	1	30
1575	29	1	30
1576	29	1	30
1577	29	1	30
1578	29	1	30
1579	29	1	30
1580	29	1	30
1581	29	1	30
1582	29	1	30
1583	29	1	30
1584	29	1	30
1585	29	1	30
1586	29	1	30
1587	29	1	30
1588	29	1	30
1589	29	1	30
1590	29	1	30
1591	29	1	30
1592	29	1	30
1593	29	1	30
1594	29	1	30
1595	29	1	30
1596	29	1	30
1597	29	1	30
1598	29	1	30
1599	29	1	30
1600	29	1	30
1601	29	1	30
1602	29	1	30
1603	29	1	30
1604	29	1	30
1605	29	1	30
1606	29	1	30
1607	29	1	30
1608	29	1	30
1609	29	1	30
1610	29	1	30
1611	29	1	30
1612	29	1	30
1613	29	1	30
1614	29	1	30
1615	29	1	30
1616	29	1	30
1617	29	1	30
1618	29	1	30
1619	29	1	30
1620	29	1	30
1621	29	1	30
1622	29	1	30
1623	29	1	30
1624	29	1	30
1625	29	1	30
1626	29	1	30
1627	29	1	30
1628	29	1	30
1629	29	1	30
1630	29	1	30
1631	29	1	30
1632	29	1	30
1633	29	1	30
1634	29	1	30
1635	29	1	30
1636	29	1	30
1637	29	1	30
1638	29	1	30
1639	29	1	30
1640	29	1	30
1641	29	1	30
1642	29	1	30
1643	29	1	30
1644	29	1	30
1645	29	1	30
1646	29	1	30
1647	29	1	30
1648	29	1	30
1649	29	1	30
1650	29	1	30
