MCS 	 ContactEnergy 
1106 	 17596.0
1107 	 17582.0
1108 	 17638.0
1109 	 17636.0
1110 	 17718.0
1111 	 17776.0
1112 	 17806.0
1113 	 17764.0
1114 	 17758.0
1115 	 17788.0
1116 	 17876.0
1117 	 17868.0
1118 	 17772.0
1119 	 17608.0
1120 	 17552.0
1121 	 17680.0
1122 	 17428.0
1123 	 17612.0
1124 	 17636.0
1125 	 17738.0
1126 	 17768.0
1127 	 17850.0
1128 	 18024.0
1129 	 17828.0
1130 	 17950.0
1131 	 17870.0
1132 	 17748.0
1133 	 17538.0
1134 	 17952.0
1135 	 17696.0
1136 	 17748.0
1137 	 17546.0
1138 	 17702.0
1139 	 17636.0
1140 	 17552.0
1141 	 17752.0
1142 	 17824.0
1143 	 17882.0
1144 	 17872.0
1145 	 17772.0
1146 	 17854.0
1147 	 17810.0
1148 	 17744.0
1149 	 17922.0
1150 	 17868.0
1151 	 17940.0
1152 	 17886.0
1153 	 17736.0
1154 	 18008.0
1155 	 17822.0
1156 	 17730.0
1157 	 17702.0
1158 	 17900.0
1159 	 17798.0
1160 	 17802.0
1161 	 17812.0
1162 	 17790.0
1163 	 17756.0
1164 	 17666.0
1165 	 17624.0
1166 	 17670.0
1167 	 17670.0
1168 	 17684.0
1169 	 17722.0
1170 	 17760.0
1171 	 17814.0
1172 	 17750.0
1173 	 17684.0
1174 	 17790.0
1175 	 17934.0
1176 	 17922.0
1177 	 17842.0
1178 	 17924.0
1179 	 17798.0
1180 	 17892.0
1181 	 17810.0
1182 	 17640.0
1183 	 17758.0
1184 	 17752.0
1185 	 17794.0
1186 	 17716.0
1187 	 17674.0
1188 	 17796.0
1189 	 17758.0
1190 	 17720.0
1191 	 17670.0
1192 	 17470.0
1193 	 17482.0
1194 	 17554.0
1195 	 17608.0
1196 	 17726.0
1197 	 17576.0
1198 	 17632.0
1199 	 17782.0
1200 	 17616.0
1201 	 17752.0
1202 	 17706.0
1203 	 17848.0
1204 	 17898.0
1205 	 17932.0
1206 	 17876.0
1207 	 17774.0
1208 	 17574.0
1209 	 17658.0
1210 	 17518.0
1211 	 17568.0
1212 	 17432.0
1213 	 17708.0
1214 	 17576.0
1215 	 17462.0
1216 	 17836.0
1217 	 17796.0
1218 	 17768.0
1219 	 17676.0
1220 	 17774.0
1221 	 17580.0
1222 	 17496.0
1223 	 17654.0
1224 	 17534.0
1225 	 17680.0
1226 	 17732.0
1227 	 17694.0
1228 	 17634.0
1229 	 17602.0
1230 	 17888.0
1231 	 17954.0
1232 	 17778.0
1233 	 17660.0
1234 	 17638.0
1235 	 17526.0
1236 	 17482.0
1237 	 17324.0
1238 	 17416.0
1239 	 17720.0
1240 	 17802.0
1241 	 17742.0
1242 	 17624.0
1243 	 17630.0
1244 	 17490.0
1245 	 17596.0
1246 	 17580.0
1247 	 17532.0
1248 	 17580.0
1249 	 17660.0
1250 	 17496.0
1251 	 17650.0
1252 	 17558.0
1253 	 17578.0
1254 	 17798.0
1255 	 17678.0
1256 	 17518.0
1257 	 17536.0
1258 	 17634.0
1259 	 17714.0
1260 	 17732.0
1261 	 17804.0
1262 	 17868.0
1263 	 17740.0
1264 	 17770.0
1265 	 17558.0
1266 	 17798.0
1267 	 17816.0
1268 	 17902.0
1269 	 17940.0
1270 	 17874.0
1271 	 17928.0
1272 	 17872.0
1273 	 17782.0
1274 	 17590.0
1275 	 17672.0
1276 	 17578.0
1277 	 17582.0
1278 	 17762.0
1279 	 17604.0
1280 	 17452.0
1281 	 17564.0
1282 	 17532.0
1283 	 17666.0
1284 	 17670.0
1285 	 17792.0
1286 	 17798.0
1287 	 17976.0
1288 	 18018.0
1289 	 17748.0
1290 	 17784.0
1291 	 18112.0
1292 	 17954.0
1293 	 17894.0
1294 	 17998.0
1295 	 17734.0
1296 	 17824.0
1297 	 17738.0
1298 	 17628.0
1299 	 17704.0
1300 	 17892.0
1301 	 17756.0
1302 	 17832.0
1303 	 17798.0
1304 	 17880.0
1305 	 17880.0
1306 	 17880.0
1307 	 17806.0
1308 	 17574.0
1309 	 17732.0
1310 	 17712.0
1311 	 17768.0
1312 	 17824.0
1313 	 17806.0
1314 	 17928.0
1315 	 17816.0
1316 	 17602.0
1317 	 17610.0
1318 	 17726.0
1319 	 17698.0
1320 	 17604.0
1321 	 17650.0
1322 	 17644.0
1323 	 17474.0
1324 	 17406.0
1325 	 17600.0
1326 	 17652.0
1327 	 17670.0
1328 	 17730.0
1329 	 17506.0
1330 	 17494.0
1331 	 17588.0
1332 	 17634.0
1333 	 17678.0
1334 	 17540.0
1335 	 17466.0
1336 	 17454.0
1337 	 17414.0
1338 	 17442.0
1339 	 17324.0
1340 	 17410.0
1341 	 17396.0
1342 	 17662.0
1343 	 17734.0
1344 	 17596.0
1345 	 17718.0
1346 	 17562.0
1347 	 17398.0
1348 	 17294.0
1349 	 17328.0
1350 	 17484.0
1351 	 17442.0
1352 	 17516.0
1353 	 17270.0
1354 	 17342.0
1355 	 17592.0
1356 	 17648.0
1357 	 17392.0
1358 	 17572.0
1359 	 17568.0
1360 	 17680.0
1361 	 17712.0
1362 	 17866.0
1363 	 17664.0
1364 	 17704.0
1365 	 17702.0
1366 	 17632.0
1367 	 17608.0
1368 	 17526.0
1369 	 17714.0
1370 	 17670.0
1371 	 17622.0
1372 	 17618.0
1373 	 17450.0
1374 	 17518.0
1375 	 17352.0
1376 	 17480.0
1377 	 17344.0
1378 	 17466.0
1379 	 17494.0
1380 	 17560.0
1381 	 17684.0
1382 	 17590.0
1383 	 17478.0
1384 	 17560.0
1385 	 17578.0
1386 	 17544.0
1387 	 17426.0
1388 	 17468.0
1389 	 17520.0
1390 	 17690.0
1391 	 17422.0
1392 	 17454.0
1393 	 17612.0
1394 	 17574.0
1395 	 17474.0
1396 	 17522.0
1397 	 17518.0
1398 	 17592.0
1399 	 17744.0
1400 	 17722.0
1401 	 17618.0
1402 	 17602.0
1403 	 17636.0
1404 	 17572.0
1405 	 17754.0
1406 	 17930.0
1407 	 17654.0
1408 	 17558.0
1409 	 17672.0
1410 	 17508.0
1411 	 17710.0
1412 	 17748.0
1413 	 17544.0
1414 	 17770.0
1415 	 17798.0
1416 	 17642.0
1417 	 17664.0
1418 	 17748.0
1419 	 17664.0
1420 	 17520.0
1421 	 17612.0
1422 	 17402.0
1423 	 17360.0
1424 	 17328.0
1425 	 17412.0
1426 	 17520.0
1427 	 17464.0
1428 	 17592.0
1429 	 17474.0
1430 	 17556.0
1431 	 17540.0
1432 	 17546.0
1433 	 17604.0
1434 	 17496.0
1435 	 17534.0
1436 	 17556.0
1437 	 17586.0
1438 	 17634.0
1439 	 17572.0
1440 	 17722.0
1441 	 17726.0
1442 	 17772.0
1443 	 17740.0
1444 	 17608.0
1445 	 17544.0
1446 	 17440.0
1447 	 17592.0
1448 	 17532.0
1449 	 17588.0
1450 	 17784.0
1451 	 17644.0
1452 	 17592.0
1453 	 17552.0
1454 	 17368.0
1455 	 17556.0
1456 	 17386.0
1457 	 17460.0
1458 	 17518.0
1459 	 17668.0
1460 	 17828.0
1461 	 17812.0
1462 	 17672.0
1463 	 17486.0
1464 	 17664.0
1465 	 17676.0
1466 	 17630.0
1467 	 17736.0
1468 	 17662.0
1469 	 17766.0
1470 	 17692.0
1471 	 17726.0
1472 	 17814.0
1473 	 17772.0
1474 	 17742.0
1475 	 17548.0
1476 	 17648.0
1477 	 17736.0
1478 	 17778.0
1479 	 17952.0
1480 	 17792.0
1481 	 17802.0
1482 	 17888.0
1483 	 17814.0
1484 	 17812.0
1485 	 17564.0
1486 	 17514.0
1487 	 17678.0
1488 	 17680.0
